,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
132,Amazon_employee_access,0,PrepTabM,0.1234470884599914,0.1187866778388218,160.72735238075256,6.895878791809082,default,21846,9
133,Amazon_employee_access,0,PrepTabM,0.121912319846886,0.1160983508139918,12475.74642109871,10.009246826171877,tuned,21846,9
134,Amazon_employee_access,0,PrepTabM,0.1225160334272665,0.1145683122677522,12475.74642109871,51.41981554031372,tuned_ensemble,21846,9
135,NATICUSdroid,2,PrepTabM,0.0108877928483352,0.0175505087212504,62.40810585021973,1.9917387962341309,default,4994,86
136,NATICUSdroid,2,PrepTabM,0.0112640479126299,0.0122301011099452,5580.283800125122,3.8080222606658936,tuned,4994,86
137,NATICUSdroid,2,PrepTabM,0.0102902941694557,0.009713320664857,5580.283800125122,23.271050930023197,tuned_ensemble,4994,86
138,NATICUSdroid,1,PrepTabM,0.0107408842698608,0.0167880215064563,62.54183387756348,2.149134874343872,default,4994,86
139,NATICUSdroid,1,PrepTabM,0.0111636427690681,0.0125498964409334,5838.730766057968,3.762042760848999,tuned,4994,86
140,NATICUSdroid,1,PrepTabM,0.0099242557688919,0.0099295128803515,5838.730766057968,29.605668783187863,tuned_ensemble,4994,86
141,polish_companies_bankruptcy,2,PrepTabM,0.0082748953691647,0.0102727923835096,1602.8783130645752,12.656551361083984,default,3940,64
142,polish_companies_bankruptcy,2,PrepTabM,0.0117234321303275,0.0055899014175534,60547.21754002571,7.194256782531738,tuned,3940,64
143,polish_companies_bankruptcy,2,PrepTabM,0.011442690973674,0.0042223933688345,60547.21754002571,34.50878930091858,tuned_ensemble,3940,64
144,polish_companies_bankruptcy,1,PrepTabM,0.006443109098801,0.0057906823655391,1707.5369760990145,12.73816442489624,default,3940,64
145,polish_companies_bankruptcy,1,PrepTabM,0.0063833769378108,0.0057247542930662,61758.44977903366,12.73816442489624,tuned,3940,64
146,polish_companies_bankruptcy,1,PrepTabM,0.0070404307087021,0.0032364690123075,61758.44977903366,107.34318470954896,tuned_ensemble,3940,64
147,polish_companies_bankruptcy,0,PrepTabM,0.0069359804990698,0.0037083716614699,1689.1341834068298,12.49893879890442,default,3940,64
148,polish_companies_bankruptcy,0,PrepTabM,0.0084695137597023,0.0037009051413462,71594.71657466888,12.49893879890442,tuned,3940,64
149,polish_companies_bankruptcy,0,PrepTabM,0.0085717493104111,0.0021802238761393,71594.71657466888,94.13975143432616,tuned_ensemble,3940,64
150,hiva_agnostic,2,PrepTabM,0.1760515678389305,0.1742063395336065,409.584536075592,8.435709238052368,default,2564,1617
151,hiva_agnostic,2,PrepTabM,0.1761065423488617,0.1709309816360473,21531.86050891876,10.609529972076416,tuned,2564,1617
152,hiva_agnostic,2,PrepTabM,0.1759098470211029,0.1704937070608139,21531.86050891876,29.792234659194943,tuned_ensemble,2564,1617
153,hiva_agnostic,1,PrepTabM,0.1754280758297551,0.1748403295061495,408.3397436141968,8.493141174316406,default,2564,1617
154,hiva_agnostic,1,PrepTabM,0.1758520007133484,0.1725688874721527,21323.519949674606,10.656957864761353,tuned,2564,1617
155,hiva_agnostic,1,PrepTabM,0.1762167960405349,0.1717543751001358,21323.519949674606,52.8416314125061,tuned_ensemble,2564,1617
156,hiva_agnostic,0,PrepTabM,0.1744150994797936,0.1755861125469512,161.07397723197937,8.744328737258911,default,2564,1617
157,hiva_agnostic,0,PrepTabM,0.1732719391584396,0.1733561158180236,8635.946468114853,10.611938953399658,tuned,2564,1617
